stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,12,Kevin,Patrick,"설날을 맞아 오랜만에 친척들이 모두 외할머니 댁에 모였다. 작은 이모가 직접 빚은 만두를 먹으며, 사촌들과 윷놀이를 했다. 윷이 자주 넘어가지 않아 다들 웃음이 끊이지 않았다. 밤에는 외삼촌이 준비한 퀴즈 대회에서 내가 1등을 해 작은 상자에 담긴 떡을 선물로 받았다. 가족들과 함께 보내는 설날은 언제나 특별한 추억을 남긴다.",내가 외삼촌이 준비한 퀴즈 대회에서 받은 선물은 무엇이었나요?,잘 모르겠음,책,작은 상자에 담긴 떡,윷놀이 세트,3,작은 상자에 담긴 떡,0,day1block2/mixture/day1block2_stimulus1.wav
2,212,Echo,Annie,"최근 들어 취미로 하던 그림 그리기를 너무 열심히 하다 보니 손목이 아파서 며칠 동안 붓을 잡지 않았다. 처음엔 시간이 아까워서 불안하기도 했지만, 오랜만에 쉬면서 좋아하는 음악도 듣고 창밖 풍경도 천천히 감상할 수 있었다. 덕분에 다시 그림을 시작했을 때 마음이 한결 가벼워지고, 색을 고르는 데에도 예전보다 훨씬 즐거움을 느낄 수 있었다.",발화자가 그림을 쉬는 동안 했던 일로 언급되지 않은 것은 무엇인가요?,잘 모르겠음,좋아하는 음악 듣기,창밖 풍경 감상하기,요리하기,4,요리하기,0,day1block2/mixture/day1block2_stimulus2.wav
3,412,Sophia,Ben,"주말마다 집 근처 작은 카페에서 혼자 브런치를 먹는 시간이 점점 소중하게 느껴진다. 이번에는 크로와상 샌드위치와 상큼한 오렌지 주스를 주문했는데, 바삭한 빵과 신선한 채소가 어울려 입안 가득 행복해졌다. 창밖으로 햇살이 들어오고, 나만의 느긋한 시간을 보내며 잠시 걱정을 내려놓을 수 있었다. 조용한 음악까지 더해지니, 그 짧은 순간이 꽤 큰 위안이 되었다.",내가 이번에 브런치로 먹은 음식과 음료의 조합은 무엇이었나요?,잘 모르겠음,크로와상 샌드위치와 오렌지 주스,팬케이크와 커피,베이글과 홍차,2,크로와상 샌드위치와 오렌지 주스,0,day1block2/mixture/day1block2_stimulus3.wav
4,13,Cyrus,Hugh,"주말에 형과 집에서 보드게임을 하기로 했어요. 이번에는 새로운 전략 게임이었는데, 처음에는 제가 유리하게 이끌었지만 형이 갑자기 전세를 뒤집어서 마지막 라운드에 이겼어요. 저는 아쉬웠지만 형이 기뻐하는 모습을 보니 재미있었고, 다음에는 꼭 이기겠다며 서로 장난스럽게 약속했죠. 게임이 끝난 뒤에는 둘이서 간식도 나눠 먹으면서 이번 대결을 다시 분석하며 한참을 웃었답니다.",보드게임을 하고 난 뒤 형제는 무엇을 하며 이야기를 나누었나요?,잘 모르겠음,간식을 먹으며 대결을 분석했다,공원에 산책을 나갔다,같이 영화관에 갔다,2,간식을 먹으며 대결을 분석했다,0,day1block2/mixture/day1block2_stimulus4.wav
5,213,Zoey,Camila,"휴가철이 다가오자 가족들과 함께 강원도 바닷가로 여행을 떠났다. 차 안에서 동생과 간식으로 고구마칩을 나눠 먹으며 창밖 풍경을 구경했다. 도착하자마자 아버지는 즉석에서 텐트를 설치하시고, 나는 엄마를 도와 바비큐 준비를 했다. 저녁에는 해변에서 모래성도 쌓고 작은 불꽃놀이도 즐겼다. 숙소로 돌아와선 오랜만에 다 같이 보드게임을 하며 웃음이 끊이지 않았다.",여행 중 저녁 시간에 가족이 함께 즐긴 활동은 무엇이었나요?,잘 모르겠음,바닷가에서 수영하기,모래성 쌓기와 불꽃놀이,놀이공원 방문하기,3,모래성 쌓기와 불꽃놀이,0,day1block2/mixture/day1block2_stimulus5.wav
6,413,Rachel,Patrick,"창밖에서 빗소리가 들리는 저녁에 소파에 앉아 책을 펼쳤다. 따뜻한 차를 옆에 두고, 오랜만에 좋아하는 소설을 천천히 읽으니 시간이 금방 흘렀다. 갑자기 고양이가 무릎 위로 올라와서 책장을 넘기는 손을 바라봤다. 책 한 장을 넘길 때마다 고양이도 고개를 갸웃거려, 그 모습이 귀여워 잠시 책을 덮고 쓰다듬어 주었다. 이 순간만큼은 아무 걱정 없이 마음이 편안해졌다.",발화자가 책을 읽는 동안 고양이는 무엇을 했나요?,잘 모르겠음,창밖을 바라봤다,무릎 위로 올라와 책장을 넘기는 손을 바라봤다,방 안을 뛰어다녔다,3,무릎 위로 올라와 책장을 넘기는 손을 바라봤다,0,day1block2/mixture/day1block2_stimulus6.wav
7,14,Logan,Patrick,"친구와 함께 가상현실 기기를 쓰고 우주선을 타는 체험을 했는데, 처음에는 무중력 상태에서 몸이 둥둥 뜨는 느낌이 정말 신기했다. 달 표면을 걷는 장면에서는 발이 땅에 제대로 닿지 않아 한 번 점프할 때마다 훨씬 멀리 날아가는 듯한 느낌을 받았다. 우주선 안에서 창밖으로 지구가 천천히 멀어지는 모습을 볼 때는 마치 실제로 우주에 떠 있는 것 같아 마음이 몹시 설렜다.",가상현실 우주 여행 체험에서 내가 달 표면을 걸을 때 어떤 느낌을 받았나요?,잘 모르겠음,한 번 점프할 때마다 훨씬 멀리 날아가는 듯했다,발걸음이 무거워서 움직이기 힘들었다,바람이 세차게 불어서 균형을 잡기 힘들었다,2,한 번 점프할 때마다 훨씬 멀리 날아가는 듯했다,0,day1block2/mixture/day1block2_stimulus7.wav
8,214,Rebecca,Glenda,"며칠 전 보호소에서 입양한 강아지를 데리고 처음으로 동물병원에 갔다. 강아지는 낯선 환경에 긴장한 듯 계속 내 무릎 위에 올라오려 했고, 나는 진료실에서 수의사 선생님께 이것저것 질문을 쏟아냈다. 건강 상태를 꼼꼼히 검사받으며 예방접종 일정도 안내받았고, 귀 안쪽에 작은 진드기가 붙어 있다는 사실도 알게 됐다. 검사 결과를 듣고 나니 한결 마음이 놓였다.",내가 동물병원에서 강아지와 함께 알게 된 건강 관련 사실은 무엇이었나요?,잘 모르겠음,강아지가 식욕이 없다는 것,귀 안에 진드기가 있었다는 것,심장에 문제가 있다는 것,3,귀 안에 진드기가 있었다는 것,0,day1block2/mixture/day1block2_stimulus8.wav
9,414,Oscar,Annie,"며칠 전 친구가 갑자기 연락해서 작은 상자를 하나 들고 우리 집에 찾아왔다. 상자를 열어보니 조그맣고 회색빛의 새끼 고양이가 안에서 조심스럽게 고개를 내밀었다. 처음엔 낯선 환경 때문인지 침대 밑에 숨어서 나오지 않았지만, 조용히 손을 내밀어 천천히 다가가니 이내 내 손끝을 냄새 맡으며 경계심을 조금 풀었다. 그날 저녁, 우유를 따뜻하게 데워 작은 그릇에 담아주었더니 그제야 배고팠던 듯 허겁지겁 먹기 시작했다. 고양이의 부드러운 털과 작은 몸짓이 아직도 손끝에 남아 있다.",새끼 고양이가 집에 처음 왔을 때 보인 행동으로 알맞은 것은 무엇인가요?,잘 모르겠음,소리 내어 크게 울었다.,침대 밑에 숨어서 나오지 않았다.,바로 내 손을 핥았다.,3,침대 밑에 숨어서 나오지 않았다.,0,day1block2/mixture/day1block2_stimulus9.wav
10,15,Cole,UncleHank,"여름방학이 시작되자마자 부모님과 함께 할머니 댁에 갔는데, 도착하자마자 할머니께서 직접 기르신 오이와 토마토를 손수 따오라고 하셔서 처음으로 텃밭에 들어가 봤다. 손에 흙이 잔뜩 묻었지만, 신기하게도 따온 채소를 바로 씻어서 먹으니 평소보다 훨씬 달고 맛있게 느껴졌다. 저녁에는 할머니가 직접 부친 감자전을 온 가족이 둘러앉아 먹으며, 옛날에 할머니가 젊었을 때 겪으셨던 시골 여름 이야기를 들었는데, 밤늦게까지 웃음소리가 끊이지 않았다.",발화에서 가족이 할머니 집에서 저녁에 함께 먹은 음식은 무엇이었나요?,잘 모르겠음,상추,감자전,수박,3,감자전,0,day1block2/mixture/day1block2_stimulus10.wav
11,215,Janet,Margaret,"친구의 권유로 도예 수업에 참여한 적이 있다. 처음에는 흙을 만지는 게 서툴러서 모양도 제대로 잡지 못했지만, 점점 손에 익으면서 내 손길로 그릇이 만들어지는 과정이 무척 신기했다. 완성된 머그컵을 집에서 사용할 때마다 작은 성취감과 뿌듯함이 느껴져서, 나에게 도예는 단순한 취미를 넘어 소중한 경험이 되었다.",내가 친구의 권유로 참여했던 취미 활동은 무엇이었나요?,잘 모르겠음,플라워 클래스,요가 클래스,도예 수업,4,도예 수업,0,day1block2/mixture/day1block2_stimulus11.wav
12,415,Kelly,Dean,"몇 년 전, 친구들과 바다로 여행을 갔던 그날이 아직도 잊히지 않는다. 처음으로 패러글라이딩을 경험했는데, 바람을 타고 하늘을 날며 아래로 펼쳐진 푸른 바다와 반짝이는 모래사장을 바라보는 순간 정말 자유롭고 행복하다고 느꼈다. 해변에서 친구들과 모래성도 쌓고, 직접 잡은 조개로 저녁을 만들어 먹으면서 많이 웃고, 사진도 정말 많이 남겼던 소중한 하루였다.",내가 친구들과 무엇을 직접 잡아서 저녁을 만들어 먹었나요?,잘 모르겠음,생선,조개,게,3,조개,0,day1block2/mixture/day1block2_stimulus12.wav
13,16,SantaClaus,Hugh,"창밖으로 부드러운 빗소리가 들리던 어느 저녁, 따뜻한 담요를 두르고 소파에 누워 좋아하는 소설책을 읽었다. 차분한 조명 아래에서 향긋한 허브차까지 곁들이니 마치 작은 카페에 온 듯한 기분이 들어 마음이 편안해졌다. 그 순간만큼은 바깥 세상 걱정도 잠시 잊고, 오롯이 나만의 공간에서 휴식을 만끽할 수 있어 무척 행복했다.",내가 소파에 누워서 즐겼던 활동은 무엇이었나요?,잘 모르겠음,국화차를 마셨다,소설책을 읽었다,텔레비전을 시청했다,3,소설책을 읽었다,0,day1block2/mixture/day1block2_stimulus13.wav
14,217,Alex,ReporterCatalina,"주말마다 반복되는 일상이 지루하게 느껴지던 어느 날, 친구가 직접 만든 소설을 읽어보라고 건네줬다. 평소 창작에는 관심이 없었지만, 그 이야기를 읽으며 내 안에도 무언가 표현하고 싶다는 생각이 처음 들었다. 그 뒤로 저녁마다 짧은 글을 써보는 습관이 생겼고, 글을 쓸 때마다 내 생각과 감정이 정리되는 기분이 들어 창작이 점점 즐거워졌다.",내가 창작 활동을 시작하게 된 직접적인 계기는 무엇이었나요?,잘 모르겠음,친구가 직접 만든 소설을 읽고 나서,책방에서 우연히 글쓰기 강연을 듣고 나서,가족의 권유로 시작하게 되어서,2,친구가 직접 만든 소설을 읽고 나서,0,day1block2/mixture/day1block2_stimulus14.wav
15,416,DollarJr,Sara,"몇 주 전 친구가 갑자기 자전거를 타자고 권유해서 별생각 없이 동네 자전거 대여소에서 자전거를 빌려 타봤다. 처음에는 중심 잡는 게 어려워 조금 휘청거렸지만, 바람을 맞으며 강가를 달릴 때 기분이 정말 상쾌했다. 집에 돌아와 다리는 약간 아팠지만, 오랜만에 땀을 흘려서 그런지 기분이 개운했다. 그날 이후 주말마다 자전거를 타는 게 나만의 소소한 즐거움이 되었다.",발화자가 친구와 함께 처음 자전거를 탄 장소는 어디였나요?,잘 모르겠음,공원,동네 자전거 대여소,학교 운동장,3,동네 자전거 대여소,0,day1block2/mixture/day1block2_stimulus15.wav
16,12,Patrick,Kevin,"도서관 앞 벤치에 앉아 햇살을 쬐던 순간이 아직도 기억난다. 낯선 캠퍼스에 발을 디딘 긴장감과 동시에, 같은 조가 된 친구들과의 어색한 인사, 그리고 동아리 홍보 부스에서 받은 작은 선물까지 모두가 새로웠다. 점심시간에 우연히 만난 선배가 학교 식당에서 메뉴를 추천해주며 걱정하지 말라고 웃어주었을 때, 마음이 한결 가벼워진 느낌이었다.",발화에서 선배가 무엇을 추천해줬나요?,잘 모르겠음,도서관 책,학교 식당 메뉴,동아리,3,학교 식당 메뉴,0,day1block2/mixture/day1block2_stimulus1.wav
17,212,Annie,Echo,"햇살이 따스했던 어느 오후, 반려견 밤이와 동네 작은 공원까지 산책을 다녀왔다. 평소에는 짧게 걷다가 돌아오는 편인데, 이날은 밤이가 유난히 에너지가 넘쳐서 평소보다 한참을 더 걸었다. 중간에 벤치에서 쉬는데 밤이가 내 무릎 위로 올라와 잠깐 졸기도 했다. 산책길에 고양이 한 마리를 만났는데 밤이는 조용히 바라보기만 하고 짖지 않아 조금 놀랐다. 산책을 마치고 집에 돌아오니 밤이가 금세 잠들어 버려서 그 모습이 꽤 귀여웠다.",산책 중 밤이가 벤치에서 보인 행동은 무엇이었나요?,잘 모르겠음,벤치 아래에서 놀았다.,내 무릎 위로 올라와 잠깐 졸았다.,벤치 옆을 계속 맴돌았다.,3,내 무릎 위로 올라와 잠깐 졸았다.,0,day1block2/mixture/day1block2_stimulus2.wav
18,412,Ben,Sophia,"얼마 전 친구들과 함께 부산의 감천문화마을을 방문했던 기억이 또렷하다. 알록달록한 집들이 언덕을 따라 이어져 있고, 골목마다 숨은 벽화와 조형물이 곳곳에 있어 걷는 내내 새로운 풍경을 만나는 재미가 있었다. 특히 해 질 무렵 노란 조명 아래서 바라본 마을의 모습이 너무 아름다워서 휴대폰 카메라로 수십 장을 찍었던 것 같다. 그곳 특유의 활기찬 분위기와 따뜻한 주민들의 인사도 인상 깊게 남았다.",발화자가 감천문화마을에서 특히 인상 깊게 느낀 시간대는 언제였나요?,잘 모르겠음,해 질 무렵,이른 아침,한낮,2,해 질 무렵,0,day1block2/mixture/day1block2_stimulus3.wav
19,13,Hugh,Cyrus,"파리에서 새벽 첫 지하철을 타고 몽마르뜨 언덕을 오르던 기억이 떠오른다. 언덕을 오르다 길을 잘못 들어 잠깐 헤맸는데, 현지 할머니 한 분이 프랑스어로 말을 걸며 길을 안내해 주셨다. 덕분에 해 뜨기 직전 사크레쾨르 성당 앞에 도착해 붉게 물든 도시 풍경을 감상할 수 있었다. 낯선 곳에서의 작은 친절이 오래도록 마음에 남았다.",프랑스 파리에서 길을 잃었을 때 도움을 준 사람은 누구였나요?,잘 모르겠음,경찰관,현지 할머니,같이 여행한 친구,3,현지 할머니,0,day1block2/mixture/day1block2_stimulus4.wav
20,213,Camila,Zoey,"도쿄의 작은 음식점에서 식사를 하던 중, 가게 주인분이 갑자기 계산을 먼저 해달라고 하셔서 조금 당황했다. 한국에서는 보통 식사 후에 계산하는 게 익숙한데, 일본의 일부 식당에선 주문할 때나 식사 도중에 계산을 요구하는 경우가 있다는 걸 그날 처음 알았다. 그래서 일행과 둘이 어색하게 지갑을 꺼냈던 기억이 있다.",도쿄 음식점에서 내가 당황한 이유는 무엇이었나요?,잘 모르겠음,음식이 너무 매워서,자리 배치가 달라서,계산을 식사 마치기 전에 요구받아서,4,계산을 식사 마치기 전에 요구받아서,0,day1block2/mixture/day1block2_stimulus5.wav
21,413,Patrick,Rachel,"출근한 지 3개월 만에 맡게 된 첫 프로젝트는 생각보다 훨씬 어려웠다. 팀원들과 밤늦게까지 회의하고, 자료를 수십 번 수정하며 서로 아이디어를 나눴다. 힘들었지만 결과 발표 날, 팀장님이 우리 발표를 듣고 미소 지으시며 칭찬해주셨다. 팀원들과 박수치고 서로를 격려하며 뿌듯함을 느꼈고, 그날 저녁엔 다 같이 삼겹살을 먹으러 가서 고생했다고 서로를 토닥였다.",첫 프로젝트 발표 후 팀원들이 함께한 일은 무엇이었나요?,잘 모르겠음,집에 바로 갔다,삼겹살을 먹으러 갔다,카페에서 케이크를 먹었다,3,삼겹살을 먹으러 갔다,0,day1block2/mixture/day1block2_stimulus6.wav
22,14,Patrick,Logan,"며칠 전, 친구와 부산에 놀러 갔다가 해운대 근처 작은 횟집을 발견했다. 메뉴판을 보며 신나게 주문했는데, 친구가 회 대신 실수로 생선국을 시켰다. 처음엔 둘 다 당황했지만, 막상 한입 먹어보니 의외로 진한 국물 맛에 푹 빠졌다. 덕분에 계획에도 없던 국밥집 투어까지 하게 되어 웃음이 끊이지 않았다. 그날 사진을 보며 아직도 서로 놀리곤 한다.",부산 여행 중 친구와 실수로 무엇을 주문했나요?,잘 모르겠음,회,생선국,떡볶이,3,생선국,0,day1block2/mixture/day1block2_stimulus7.wav
23,214,Glenda,Rebecca,"작년 여름, 친구들과 제주도 서귀포에 있는 작은 펜션에서 머물렀던 기억이 아직도 생생하다. 첫날 밤엔 갑자기 내린 소나기 때문에 바비큐 파티가 잠시 중단됐지만, 모두 우비를 입고 바깥 테라스에 모여 웃으며 고기를 구웠다. 빗소리와 함께 듣는 친구들의 농담에 유난히 더운 여름밤도 시원하게 느껴졌던 그 순간이 아직도 가장 행복한 여름휴가로 남아있다.",발화자가 여름휴가 중 친구들과 우비를 입고 했던 활동은 무엇인가요?,잘 모르겠음,바다 수영,고기 굽기,낚시,3,고기 굽기,0,day1block2/mixture/day1block2_stimulus8.wav
24,414,Annie,Oscar,"며칠 전부터 졸업논문 결론 부분을 작성하는 데 계속 막혀서 답답했다. 자료 조사를 충분히 했다고 생각했지만, 막상 내 주장과 근거를 연결하려니 생각보다 논리 전개가 어색하게 느껴졌다. 지도 교수님께 피드백을 받으니, 내 논지 흐름이 중간에 끊긴다는 지적을 들었다. 결국 나는 논문 전체 구조를 다시 점검하고, 결론 부분의 주요 논지를 한 번 더 정리해보았다. 시간이 더 걸렸지만, 다듬고 나니 이전보다 훨씬 명확해진 느낌이었다.",발화자가 졸업논문 결론을 잘 쓰기 위해 가장 먼저 한 행동은 무엇인가요?,잘 모르겠음,지도 교수님께 피드백을 받았다.,논문 전체 구조를 다시 점검했다.,자료 조사를 새로 시작했다.,2,지도 교수님께 피드백을 받았다.,0,day1block2/mixture/day1block2_stimulus9.wav
25,15,UncleHank,Cole,"회사 퇴근길에 갑자기 비가 쏟아져서 급하게 편의점에서 산 파란색 우산을 썼다. 지하철을 타고 집 근처에 도착했을 때는 비가 그쳐서 우산을 잠깐 접어 들고 있었다. 그런데 집에 도착해서야 우산이 손에 없다는 걸 알아차렸다. 어디에 놓고 온 건지 기억도 잘 안 나서 괜히 속상했다. 며칠 뒤에 그 길을 다시 지나가 보았지만, 우산은 이미 사라진 뒤였다.",발화자는 어떤 색깔의 우산을 편의점에서 샀나요?,잘 모르겠음,빨간색,파란색,초록색,3,파란색,0,day1block2/mixture/day1block2_stimulus10.wav
26,215,Margaret,Janet,"갑작스럽게 스페인의 작은 마을에서 길을 잃었던 적이 있다. 휴대폰 배터리도 거의 없고, 영어도 잘 통하지 않아 당황했지만, 근처 카페에 들어가서 손짓과 간단한 스페인어로 길을 물었다. 다행히 카페 직원이 친절하게 지도에 표시해주며 목적지까지 가는 버스 번호도 알려줬고, 결국 무사히 숙소에 도착할 수 있었다. 그때의 긴장감과 안도감이 아직도 생생하다.",길을 잃은 상황에서 내가 도움을 받았던 장소는 어디였나요?,잘 모르겠음,근처 슈퍼마켓,근처 카페,택시 승강장,3,근처 카페,0,day1block2/mixture/day1block2_stimulus11.wav
27,415,Dean,Kelly,"며칠 전부터 수채화 그리기를 시작했다. 처음에는 색을 섞는 게 생각보다 어려워서 멋진 하늘을 표현하고 싶었지만 자꾸 색이 탁해져서 속상했다. 그래도 포기하지 않고 유튜브 영상을 참고하며 노란색과 파란색을 조심스럽게 섞었더니, 드디어 마음에 드는 밝은 초록색을 만들어낼 수 있었다. 완성된 그림을 가족에게 보여줬더니 모두 예쁘다고 칭찬해줘서 정말 기뻤다.",발화자가 수채화 그리기를 하면서 가장 먼저 성공적으로 만든 색은 무엇이었나요?,잘 모르겠음,주황색,초록색,보라색,3,초록색,0,day1block2/mixture/day1block2_stimulus12.wav
28,16,Hugh,SantaClaus,"며칠 전 퇴근길에 동네 작은 공원을 지나다가 우연히 연못가에 앉아 있는 청둥오리 한 쌍을 발견했다. 바람에 흔들리는 연잎 사이로 잔잔한 물결이 퍼지고, 오리들이 서로 부리로 깃털을 다듬는 모습이 정말 평화로워 보였다. 순간 복잡했던 하루의 피로가 스르르 풀리는 기분이 들어 잠시 발걸음을 멈추고 그 모습을 오래 바라보았다.",화자는 공원 연못가에서 어떤 동물을 발견하고 잠시 발걸음을 멈췄나요?,잘 모르겠음,청둥오리,고양이,참새,2,청둥오리,0,day1block2/mixture/day1block2_stimulus13.wav
29,217,ReporterCatalina,Alex,"초등학교 6학년 때 처음으로 친구들을 집에 초대해 생일 파티를 열었는데, 엄마가 직접 만든 초코케이크에 내 이름을 예쁘게 써주셔서 정말 감동했다. 친구들이 모두 각자 손수 만든 작은 선물을 준비해와서 선물 교환을 하며 서로에게 편지도 읽어줬다. 특히 지현이가 쓴 짧은 시를 듣고 모두 함께 웃으며 박수쳤던 순간이 아직도 생생하게 기억난다.",생일 파티에서 친구들이 한 특별한 활동은 무엇이었나요?,잘 모르겠음,엄마가 만든 케이크를 먹었다,직접 만든 선물로 교환하고 편지를 읽어줬다,밖에서 달리기 시합을 했다,3,직접 만든 선물로 교환하고 편지를 읽어줬다,0,day1block2/mixture/day1block2_stimulus14.wav
30,416,Sara,DollarJr,"새벽에 숙소에서 일어나 조용히 준비를 마치고 해변으로 향했다. 해가 뜨기 전이라 공기는 서늘했고, 바다엔 아직 서퍼들이 거의 없었다. 파도 소리만 들리는 고요한 순간, 처음으로 큰 파도를 제대로 타는 데 성공했다. 그 짜릿함에 심장이 빨리 뛰었고, 옆에 있던 현지 서퍼가 엄지손가락을 들어 보여줬을 때 괜히 뿌듯했다. 서핑을 마친 뒤 해변가 작은 카페에서 갓 내린 커피를 마시며, 파도 위에서의 떨림을 다시 곱씹었다.",발화자가 서핑 후 마신 음료는 무엇이었나요?,잘 모르겠음,차,주스,커피,4,커피,0,day1block2/mixture/day1block2_stimulus15.wav