thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN001,kistv1,1,1,1,1,1,1,1-1.,1,4,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus04.wav,0.076318,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,1,대화 중 아버지가 꺼낸 화자의 어린 시절 추억은 무엇이었나요?,잘 모르겠음,해변에서 놀던 기억,등산을 함께 갔던 일,동물원에 갔던 날,3,3,1,0.7831,3.7834,16.6342,6.5041,23.1384,23.1545,2.6074,25.762,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,2,1-2.,2,2,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus02.wav,0.07559,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,숙소 주인 할머니가 비를 피해 들어온 화자에게 무엇을 나눠주셨나요?,잘 모르겠음,군밤,고구마,찐 옥수수,2,3,0,26.7825,29.7827,29.794,1.464,31.258,31.2715,1.0584,32.3299,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,3,1-3.,3,29,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus29.wav,0.077128,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,요가 수업 중에 무엇 때문에 모두가 웃음을 터뜨리게 되었나요?,잘 모르겠음,선생님이 농담을 해서,한 친구가 균형을 잃고 굴러서,음악이 갑자기 멈춰서,3,3,1,33.3489,36.3494,38.1276,0.619,38.7467,38.7624,1.136,39.8984,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,4,1-4.,4,11,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus11.wav,0.076012,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자의 발표 연습을 도와준 사람은 누구였나요?,잘 모르겠음,팀장님,동료,가족,2,3,0,40.9182,43.9186,43.9299,13.0721,57.002,57.0132,0.8367,57.8499,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,5,1-5.,5,15,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus15.wav,0.075238,0,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,처음 수영장에 들어갔을 때 내가 사용한 도구는 무엇이었나요?,잘 모르겠음,구명 튜브,수경,오리발,1,2,0,58.866,61.8662,95.8708,2.0438,97.9147,97.9271,1.2358,99.1629,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,6,1-6.,6,12,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus12.wav,0.07082,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,친구와의 대화에서 화자가 얻게 된 깨달음은 무엇이었나요?,잘 모르겠음,불안이 누구에게나 있을 수 있다는 것이었다.,카페에서 공부하기가 어렵다는 것이었다.,친구가 자신을 질투하고 있었다는 것이었다.,2,2,1,100.1796,103.1797,104.7986,0.9879,105.7866,105.8028,0.3755,106.1783,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,7,1-7.,7,21,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus21.wav,0.076094,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화에서 친구와 함께 찻집에서 주문한 음식과 음료 조합으로 알맞은 것은 무엇인가요?,잘 모르겠음,녹차와 인절미,유자차와 팥죽,아메리카노와 와플,2,3,0,107.196,110.1962,110.208,1.123,111.3309,111.3469,1.3193,112.6663,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,8,1-8.,8,6,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus06.wav,0.075856,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,화자가 인생을 바꾸는 계기가 된 특별한 대화를 나눈 장소는 어디였습니까?,잘 모르겠음,도서관,카페,바닷가,3,4,0,113.6821,116.6826,118.363,0.2477,118.6107,118.6235,0.2353,118.8588,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,9,1-9.,9,1,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus01.wav,0.079926,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,4,발화자가 어머니와 공방에서 만든 도자기 컵에 사용한 유약의 색깔은 무엇이었나요?,잘 모르겠음,초록색,파란색,노란색,3,3,1,119.879,122.8793,122.8914,0.8307,123.7221,123.7358,1.9622,125.698,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,10,1-10.,10,17,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus17.wav,0.075457,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,4,할아버지가 홍수 때 잃어버린 물건은 무엇이었나요?,잘 모르겠음,우산,연필,손수건,4,3,0,126.7141,129.7146,129.7258,1.1242,130.8501,130.8596,0.5342,131.3938,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,11,1-11.,11,28,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus28.wav,0.069219,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,가족이 공원에 갔을 때 도시락에는 무엇이 포함되어 있었나요?,잘 모르겠음,김밥과 과일,샌드위치와 주스,치킨과 떡볶이,3,2,0,132.4116,135.4122,137.5023,0.6044,138.1067,138.1201,0.1623,138.2824,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,12,1-12.,12,22,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus22.wav,0.071613,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,파리에서 만난 브라질 출신의 청년과 화자가 함께 한 활동은 무엇이었나요?,잘 모르겠음,에펠탑을 구경했다,숨겨진 골목 시장을 둘러보았다,박물관을 관람했다,3,3,1,139.3021,142.3023,142.3133,0.6567,142.97,142.9863,0.1199,143.1062,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,13,1-13.,13,26,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus26.wav,0.075735,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,어려운 일이 있었던 화자는 가족들과 무엇을 하며 위안을 받았나요?,잘 모르겠음,같이 운동을 했다,거실에서 이야기를 나눴다,외식을 하러 나갔다,3,3,1,144.1282,147.1283,147.1396,0.391,147.5306,147.5458,0.1522,147.6981,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,14,1-14.,14,13,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus13.wav,0.06968,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,해외여행 중에 발화자가 어떤 점에서 성장했다고 느꼈나요?,잘 모르겠음,여행 계획을 완벽히 세워서,스스로 문제를 해결하고 자신감이 생겨서,여행지에서 유명한 음식을 많이 먹어서,3,3,1,148.7128,151.7132,151.7245,0.4375,152.162,152.1798,0.1746,152.3544,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,15,1-15.,15,23,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus23.wav,0.069154,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,1,내가 공원에서 마음이 차분해지는 데 도움이 된다고 언급한 것은 무엇인가요?,잘 모르겠음,공원의 커피숍,연못 풍경과 음악,운동 기구,2,3,0,153.3777,156.3781,156.39,0.3802,156.7702,156.7855,0.041,156.8264,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,2,2,1,2-1.,16,9,C:\Users\KIST\PycharmProjects\SNUexp\ASA\Stimuli_48k\day1block1\mixture\day1block1_stimulus09.wav,0.072376,0,1,1,1,2,2-Jan,M1F2,Male,1,1,2,7,대회 준비 마지막 일주일 동안 어떤 점에 중점을 두어 훈련했나요?,잘 모르겠음,기초 체력만 집중적으로 키웠다.,기술 연습만 반복했다.,체력과 팀워크를 동시에 끌어올렸다.,3,4,0,161.566,164.5662,198.5713,12.7349,211.3062,211.322,5.2888,216.6108,1,KISTv1,1,
